stageNumber,stageTitle,lessonNumber,learningCardId,learningCardTitle,questionNumber,questionId,authoringCategory,question,correctChoiceId,correctAnswer,objective
4,Decision Room,,sampling,Sampling,2,v02712-sampling-q2,model-trace,"After sampling selects one token, what does the autoregressive loop do with it?",v02712-sampling-q2-correct,It appends the token to the response-so-far so the next run can see it.,"Explain sampling as choosing one next token from probabilities during inference, after softmax and before append/repeat."
4,Decision Room,,sampling,Sampling,3,v02712-sampling-q3,causal-consequence,Why can sampling make two runs with the same prompt produce different wording?,v02712-sampling-q3-correct,The decoder can choose among likely tokens instead of following one fixed path.,"Explain sampling as choosing one next token from probabilities during inference, after softmax and before append/repeat."
4,Decision Room,,sampling,Sampling,4,v02712-sampling-q4,misconception-check,A learner says sampling writes the whole answer at once. What boundary fixes that misconception?,v02712-sampling-q4-correct,Sampling chooses one next token; autoregression appends and repeats.,"Explain sampling as choosing one next token from probabilities during inference, after softmax and before append/repeat."
5,The Day Repeats,,autoregression,Autoregression,1,v02712-autoregression-q1,model-trace,"In autoregression, a model writes ""The dog"" and then generates ""ran."" What does the next model run see?",v02712-autoregression-q1-correct,"The prompt plus the response so far, including the newly appended token.","Explain autoregression as next token, append to context, run again, while weights usually remain unchanged and context grows."
5,The Day Repeats,,autoregression,Autoregression,2,v02712-autoregression-q2,boundary,Autoregression updates the response-so-far during inference. What usually does not change?,v02712-autoregression-q2-correct,The model weights.,"Explain autoregression as next token, append to context, run again, while weights usually remain unchanged and context grows."
5,The Day Repeats,,autoregression,Autoregression,3,v02712-autoregression-q3,causal-consequence,A very long generated response can push older information out of view. Which earlier concept explains that limit?,v02712-autoregression-q3-correct,The context window.,"Explain autoregression as next token, append to context, run again, while weights usually remain unchanged and context grows."
5,The Day Repeats,,context-window,Context Window,1,v02712-context-window-q1,application,A long chat exceeds the context window and early details fall out. What changed most directly?,v02712-context-window-q1-correct,The temporary visible input available to the current run.,"Explain the context window as temporary visible input space for the current run, not permanent memory, and show how autoregression and RAG compete for that space."
5,The Day Repeats,,context-window,Context Window,2,v02712-context-window-q2,boundary,Why is context not the same as memory?,v02712-context-window-q2-correct,Context is current input; memory needs a separate saved mechanism.,"Explain the context window as temporary visible input space for the current run, not permanent memory, and show how autoregression and RAG compete for that space."
5,The Day Repeats,,context-window,Context Window,3,v02712-context-window-q3,model-trace,RAG retrieves three passages before the LLM answers. Where do those passages usually go?,v02712-context-window-q3-correct,Into the current context window as retrieved context.,"Explain the context window as temporary visible input space for the current run, not permanent memory, and show how autoregression and RAG compete for that space."
5,The Day Repeats,,context-window,Context Window,4,v02712-context-window-q4,model-trace,Why does the response-so-far matter for the context window?,v02712-context-window-q4-correct,"Generated tokens append, so later steps can attend to them.","Explain the context window as temporary visible input space for the current run, not permanent memory, and show how autoregression and RAG compete for that space."
5,The Day Repeats,,rag-retrieval,RAG and Retrieval,1,v02712-rag-retrieval-q1,application,"A RAG system searches a course handbook, inserts two passages into the prompt, then the LLM answers. What changed most directly?",v02712-rag-retrieval-q1-correct,Outside text was retrieved and placed into the current context.,"Explain RAG as a retrieval system that places outside evidence into current context during inference, not training, omniscience, or permanent memory."
5,The Day Repeats,,rag-retrieval,RAG and Retrieval,2,v02712-rag-retrieval-q2,boundary,Which source can a RAG system use?,v02712-rag-retrieval-q2-correct,Sources connected to its retriever or index.,"Explain RAG as a retrieval system that places outside evidence into current context during inference, not training, omniscience, or permanent memory."
5,The Day Repeats,,rag-retrieval,RAG and Retrieval,3,v02712-rag-retrieval-q3,boundary,Why is RAG not training?,v02712-rag-retrieval-q3-correct,RAG supplies temporary context; it does not change weights by itself.,"Explain RAG as a retrieval system that places outside evidence into current context during inference, not training, omniscience, or permanent memory."
5,The Day Repeats,,rag-retrieval,RAG and Retrieval,4,v02712-rag-retrieval-q4,causal-consequence,How can RAG reduce hallucinations without eliminating them?,v02712-rag-retrieval-q4-correct,"RAG gives temporary evidence, but retrieval or generation can still fail.","Explain RAG as a retrieval system that places outside evidence into current context during inference, not training, omniscience, or permanent memory."
5,The Day Repeats,,grounding,Grounding,1,v02712-grounding-q1,application,"A retrieved passage says one thing, but the answer claims another. Why can grounding still fail?",v02712-grounding-q1-correct,Evidence does not guarantee the answer stays connected.,Explain grounding as connecting generated claims to available evidence while recognizing that citations or retrieval do not guarantee truth.
5,The Day Repeats,,grounding,Grounding,2,v02712-grounding-q2,mechanism,A campus answer cites retrieved documents and data. What is grounding trying to connect?,v02712-grounding-q2-correct,"Generated claims to available documents, data, or tool results.",Explain grounding as connecting generated claims to available evidence while recognizing that citations or retrieval do not guarantee truth.
5,The Day Repeats,,grounding,Grounding,3,v02712-grounding-q3,misconception-check,A response includes a polished citation that the source list does not contain. What should a learner suspect?,v02712-grounding-q3-correct,The citation may be generated text rather than grounded evidence.,Explain grounding as connecting generated claims to available evidence while recognizing that citations or retrieval do not guarantee truth.
5,The Day Repeats,,grounding,Grounding,4,v02712-grounding-q4,boundary,How does grounding connect to RAG in a well-designed system?,v02712-grounding-q4-correct,RAG supplies evidence; grounding checks whether the answer uses it.,Explain grounding as connecting generated claims to available evidence while recognizing that citations or retrieval do not guarantee truth.
5,The Day Repeats,,hallucinations,Hallucinations,1,v02712-hallucinations-q1,application,The model invents a realistic article title and citation. What makes this a hallucination?,v02712-hallucinations-q1-correct,The fluent output lacks adequate support from available evidence.,"Explain hallucination as fluent generated output that lacks adequate support, not intentional lying, consciousness, or proof of malice."
5,The Day Repeats,,hallucinations,Hallucinations,2,v02712-hallucinations-q2,causal-consequence,Why can hallucinations happen in a next-token system?,v02712-hallucinations-q2-correct,Fluent token choices can outrun evidence or grounding.,"Explain hallucination as fluent generated output that lacks adequate support, not intentional lying, consciousness, or proof of malice."
5,The Day Repeats,,hallucinations,Hallucinations,3,v02712-hallucinations-q3,boundary,A hallucination is often confused with lying. Which boundary matters?,v02712-hallucinations-q3-correct,Lying implies intent; hallucination describes unsupported output.,"Explain hallucination as fluent generated output that lacks adequate support, not intentional lying, consciousness, or proof of malice."
5,The Day Repeats,,hallucinations,Hallucinations,4,v02712-hallucinations-q4,human-use-judgment,Which practice can reduce hallucination risk without pretending it disappears?,v02712-hallucinations-q4-correct,"Use evidence, constraints, and human review for important claims.","Explain hallucination as fluent generated output that lacks adequate support, not intentional lying, consciousness, or proof of malice."
6,Twilight: The Wider Landscape,,how-ai-learns,How AI Learns,1,v02712-how-ai-learns-q1,application,A team fine-tunes a support model on many reviewed examples. What usually changes?,v02712-how-ai-learns-q1-correct,Weights or adapter behavior that can affect future inference runs.,"Compare ways AI systems appear to learn and separate durable weight or adapter changes from temporary context use, retrieval, and in-context behavior."
6,Twilight: The Wider Landscape,,how-ai-learns,How AI Learns,2,v02712-how-ai-learns-q2,boundary,A user pastes a policy into the prompt and the answer follows it. What kind of learning-like behavior is this?,v02712-how-ai-learns-q2-correct,"Temporary context use, not durable weight change.","Compare ways AI systems appear to learn and separate durable weight or adapter changes from temporary context use, retrieval, and in-context behavior."
6,Twilight: The Wider Landscape,,how-ai-learns,How AI Learns,3,v02712-how-ai-learns-q3,model-trace,A RAG system retrieves a PDF passage and the model uses it. What did the system add?,v02712-how-ai-learns-q3-correct,Outside information in the current context.,"Compare ways AI systems appear to learn and separate durable weight or adapter changes from temporary context use, retrieval, and in-context behavior."
6,Twilight: The Wider Landscape,,how-ai-learns,How AI Learns,4,v02712-how-ai-learns-q4,boundary,"In the learning-bucket sort, which action can durably change future model behavior?",v02712-how-ai-learns-q4-correct,Adapter training on task examples.,"Compare ways AI systems appear to learn and separate durable weight or adapter changes from temporary context use, retrieval, and in-context behavior."
6,Twilight: The Wider Landscape,,how-ai-learns,How AI Learns,5,v02712-how-ai-learns-q5,misconception-check,"Why is the word ""learned"" tricky in How AI Learns conversations?",v02712-how-ai-learns-q5-correct,People may use it as temporary context even when weights did not change.,"Compare ways AI systems appear to learn and separate durable weight or adapter changes from temporary context use, retrieval, and in-context behavior."
6,Twilight: The Wider Landscape,,diffusion,Diffusion vs Autoregression,1,v02712-diffusion-q1,boundary,"In Diffusion vs Autoregression, one system appends text tokens and another denoises an image. Which boundary is most accurate?",v02712-diffusion-q1-correct,Autoregressive LLMs and diffusion models are different generative methods.,Distinguish autoregressive text generation from diffusion-style denoising and show that generative AI methods do not all work like ChatGPT.
6,Twilight: The Wider Landscape,,diffusion,Diffusion vs Autoregression,2,v02712-diffusion-q2,mechanism,What is the key diffusion idea in this simplified map?,v02712-diffusion-q2-correct,Start with noise and iteratively denoise toward an output.,Distinguish autoregressive text generation from diffusion-style denoising and show that generative AI methods do not all work like ChatGPT.
6,Twilight: The Wider Landscape,,diffusion,Diffusion vs Autoregression,3,v02712-diffusion-q3,misconception-check,Why does this distinction help demystify generative AI?,v02712-diffusion-q3-correct,Text autoregression is not how all generative systems work.,Distinguish autoregressive text generation from diffusion-style denoising and show that generative AI methods do not all work like ChatGPT.
6,Twilight: The Wider Landscape,,multimodal,Multimodal AI,1,v02712-multimodal-q1,application,"A model accepts an image and a text question, then answers in text. What makes the system multimodal?",v02712-multimodal-q1-correct,It represents or processes more than one media type together.,Explain multimodal AI as systems that represent or process more than one media type together without implying human-like perception.
6,Twilight: The Wider Landscape,,multimodal,Multimodal AI,2,v02712-multimodal-q2,boundary,Which boundary keeps multimodal AI from sounding magical?,v02712-multimodal-q2-correct,"Media inputs become numerical representations, not human senses.",Explain multimodal AI as systems that represent or process more than one media type together without implying human-like perception.
6,Twilight: The Wider Landscape,,multimodal,Multimodal AI,3,v02712-multimodal-q3,model-trace,How can multimodal and diffusion systems relate?,v02712-multimodal-q3-correct,An AI product can combine different media models and methods.,Explain multimodal AI as systems that represent or process more than one media type together without implying human-like perception.
6,Twilight: The Wider Landscape,,perfect-storm,The Perfect Storm,1,v02712-perfect-storm-q1,causal-consequence,"In the Perfect Storm story, which explanation best captures why modern LLM capability arrived when it did?",v02712-perfect-storm-q1-correct,"Data, compute, storage, methods, labor, and incentives converged.","Explain modern LLM capability as convergence among data, compute, storage, methods, labor, and incentives, not one magic breakthrough."
6,Twilight: The Wider Landscape,,perfect-storm,The Perfect Storm,2,v02712-perfect-storm-q2,human-use-judgment,Why do labor and incentives belong beside data and compute in the Perfect Storm?,v02712-perfect-storm-q2-correct,Human work and incentives helped turn methods into products.,"Explain modern LLM capability as convergence among data, compute, storage, methods, labor, and incentives, not one magic breakthrough."
6,Twilight: The Wider Landscape,,perfect-storm,The Perfect Storm,3,v02712-perfect-storm-q3,misconception-check,A learner says LLMs came from one magic invention. What does the storm-front metaphor correct?,v02712-perfect-storm-q3-correct,"LLMs appeared because of convergence, not one magic breakthrough.","Explain modern LLM capability as convergence among data, compute, storage, methods, labor, and incentives, not one magic breakthrough."
6,Twilight: The Wider Landscape,,perfect-storm,The Perfect Storm,4,v02712-perfect-storm-q4,model-trace,How does the Perfect Storm widen the Journey after model mechanics?,v02712-perfect-storm-q4-correct,"It asks whose data, labor, infrastructure, and choices made the mechanics useful.","Explain modern LLM capability as convergence among data, compute, storage, methods, labor, and incentives, not one magic breakthrough."
7,Midnight Ledger,,collective-intelligence,"Collective Intelligence, Extracted",1,v02712-collective-intelligence-q1,human-use-judgment,"In Collective Intelligence, Extracted, a model gives useful patterns learned from many people's writing. What should learners ask?",v02712-collective-intelligence-q1-correct,What human-created data and labor helped shape it.,"Explain that much model usefulness comes from patterns in human-created data and labor, raising questions of provenance, consent, and compensation."
7,Midnight Ledger,,collective-intelligence,"Collective Intelligence, Extracted",2,v02712-collective-intelligence-q2,boundary,"Why is ""extracted"" an important word here?",v02712-collective-intelligence-q2-correct,"It points to provenance, consent, pay, and power around data/labor.","Explain that much model usefulness comes from patterns in human-created data and labor, raising questions of provenance, consent, and compensation."
7,Midnight Ledger,,collective-intelligence,"Collective Intelligence, Extracted",3,v02712-collective-intelligence-q3,model-trace,How does collective intelligence connect back to pretraining?,v02712-collective-intelligence-q3-correct,Pretraining can shape weights from patterns in human-created data.,"Explain that much model usefulness comes from patterns in human-created data and labor, raising questions of provenance, consent, and compensation."
7,Midnight Ledger,,costs-we-must-count,Costs We Must Count,1,v02712-costs-we-must-count-q1,human-use-judgment,A campus wants AI tutoring at scale. Which cost mix should leaders count before deployment?,v02712-costs-we-must-count-q1-correct,"Training, inference, infrastructure, privacy, labor, access, and governance costs.","Identify costs across training, inference, infrastructure, data, labor, privacy, and institutional deployment rather than treating digital systems as cost-free."
7,Midnight Ledger,,costs-we-must-count,Costs We Must Count,2,v02712-costs-we-must-count-q2,causal-consequence,Why can repeated inference workloads matter even after training is done?,v02712-costs-we-must-count-q2-correct,"Each use can consume compute, energy, money, monitoring, and support.","Identify costs across training, inference, infrastructure, data, labor, privacy, and institutional deployment rather than treating digital systems as cost-free."
7,Midnight Ledger,,costs-we-must-count,Costs We Must Count,3,v02712-costs-we-must-count-q3,misconception-check,"A product is called digital, so someone assumes it is weightless. What costs does that hide?",v02712-costs-we-must-count-q3-correct,"It hides infrastructure, energy, labor, and policy costs.","Identify costs across training, inference, infrastructure, data, labor, privacy, and institutional deployment rather than treating digital systems as cost-free."
7,Midnight Ledger,,costs-we-must-count,Costs We Must Count,4,v02712-costs-we-must-count-q4,human-use-judgment,How should Costs We Must Count shape benefit claims?,v02712-costs-we-must-count-q4-correct,"Pair useful AI possibilities with what must be protected, governed, or funded.","Identify costs across training, inference, infrastructure, data, labor, privacy, and institutional deployment rather than treating digital systems as cost-free."
7,Midnight Ledger,,risk-myth,Risk vs Myth,1,v02712-risk-myth-q1,application,A staff member pastes student records into a third-party AI tool. Which risk is real?,v02712-risk-myth-q1-correct,"Private data may be exposed, retained, or used outside the intended context.","Separate practical institutional risks from myths, focusing on privacy, bias, unsupported claims, overreliance, governance, and non-conscious models."
7,Midnight Ledger,,risk-myth,Risk vs Myth,2,v02712-risk-myth-q2,human-use-judgment,A tool has permission to search a campus drive. What should risk literacy ask first?,v02712-risk-myth-q2-correct,"What data the tool can access, retain, log, and send into context.","Separate practical institutional risks from myths, focusing on privacy, bias, unsupported claims, overreliance, governance, and non-conscious models."
7,Midnight Ledger,,risk-myth,Risk vs Myth,3,v02712-risk-myth-q3,boundary,What boundary separates hallucination risk from lying?,v02712-risk-myth-q3-correct,Hallucination is unsupported output; lying implies intent.,"Separate practical institutional risks from myths, focusing on privacy, bias, unsupported claims, overreliance, governance, and non-conscious models."
7,Midnight Ledger,,risk-myth,Risk vs Myth,4,v02712-risk-myth-q4,human-use-judgment,Which response is best when a risk is real but a myth is also circulating?,v02712-risk-myth-q4-correct,"Name the concrete risk, reject the myth, and choose safeguards that match the system.","Separate practical institutional risks from myths, focusing on privacy, bias, unsupported claims, overreliance, governance, and non-conscious models."
8,New Dawn,,benefits-worth-taking-seriously,Benefits Worth Taking Seriously,1,v02712-benefits-worth-taking-seriously-q1,human-use-judgment,Which Benefits Worth Taking Seriously claim is useful and bounded rather than hype?,v02712-benefits-worth-taking-seriously-q1-correct,"AI can assist drafting, translation, search, and access when humans review important outputs.","Name realistic AI benefits such as drafting, access, translation, summarization, and search while keeping limits, costs, and human review visible."
8,New Dawn,,benefits-worth-taking-seriously,Benefits Worth Taking Seriously,2,v02712-benefits-worth-taking-seriously-q2,model-trace,"During use, where do many AI benefits come from?",v02712-benefits-worth-taking-seriously-q2-correct,"Trained weights, temporary context, tools, retrieval, and human review working together.","Name realistic AI benefits such as drafting, access, translation, summarization, and search while keeping limits, costs, and human review visible."
8,New Dawn,,benefits-worth-taking-seriously,Benefits Worth Taking Seriously,3,v02712-benefits-worth-taking-seriously-q3,misconception-check,A team names real AI benefits while still checking limits and costs. Which misconception does that avoid?,v02712-benefits-worth-taking-seriously-q3-correct,Taking benefits seriously does not mean believing in utopia.,"Name realistic AI benefits such as drafting, access, translation, summarization, and search while keeping limits, costs, and human review visible."
8,New Dawn,,human-centered-ai,Human-Centered AI,1,v02712-human-centered-ai-q1,human-use-judgment,"In Human-Centered AI, what should remain central in a high-stakes advising workflow even if AI drafts options?",v02712-human-centered-ai-q1-correct,"Human judgment, accountability, context, and an appeal path.","Explain human-centered AI as keeping human judgment, accountability, oversight, appeal, and context at the center of AI-assisted decisions."
8,New Dawn,,human-centered-ai,Human-Centered AI,2,v02712-human-centered-ai-q2,boundary,A team writes a careful system prompt for advising support. Why does that alone not make the system human-centered?,v02712-human-centered-ai-q2-correct,"Prompts steer current behavior; accountability, governance, and appeal need system design.","Explain human-centered AI as keeping human judgment, accountability, oversight, appeal, and context at the center of AI-assisted decisions."
8,New Dawn,,human-centered-ai,Human-Centered AI,3,v02712-human-centered-ai-q3,misconception-check,What misconception does human-centered AI correct?,v02712-human-centered-ai-q3-correct,Powerful AI should not automatically get decision authority.,"Explain human-centered AI as keeping human judgment, accountability, oversight, appeal, and context at the center of AI-assisted decisions."
8,New Dawn,,human-centered-ai,Human-Centered AI,4,v02712-human-centered-ai-q4,model-trace,How does human-centered AI connect to the prior costs and risks cards?,v02712-human-centered-ai-q4-correct,It names the values and oversight that should guide tradeoffs.,"Explain human-centered AI as keeping human judgment, accountability, oversight, appeal, and context at the center of AI-assisted decisions."
8,New Dawn,,better-ai-choice,Better AI Is a Choice,1,v02712-better-ai-choice-q1,human-use-judgment,A team wants fewer unsupported answers in a student-support bot. Which design choice helps without pretending risk disappears?,v02712-better-ai-choice-q1-correct,"Use retrieval, evaluation, and human review when the task needs evidence.","Show that better AI outcomes depend on design, governance, incentives, evaluation, data choices, and human review, not inevitability."
8,New Dawn,,better-ai-choice,Better AI Is a Choice,2,v02712-better-ai-choice-q2,boundary,Which choices can durably shape future AI behavior?,v02712-better-ai-choice-q2-correct,"Training data, fine-tuning, policies, evaluation standards, and incentives.","Show that better AI outcomes depend on design, governance, incentives, evaluation, data choices, and human review, not inevitability."
8,New Dawn,,better-ai-choice,Better AI Is a Choice,3,v02712-better-ai-choice-q3,misconception-check,"What misconception does ""better AI is a choice"" avoid?",v02712-better-ai-choice-q3-correct,Harms are not inevitable just because the technology is useful.,"Show that better AI outcomes depend on design, governance, incentives, evaluation, data choices, and human review, not inevitability."
8,New Dawn,,better-ai-choice,Better AI Is a Choice,4,v02712-better-ai-choice-q4,model-trace,How do human-centered values become practical choices?,v02712-better-ai-choice-q4-correct,"Through design, policy, governance, evaluation, data choices, and incentives.","Show that better AI outcomes depend on design, governance, incentives, evaluation, data choices, and human review, not inevitability."
8,New Dawn,,effective-prompting-literacy,Effective Prompting from Model Literacy,1,v02712-effective-prompting-literacy-q1,application,"A prompt includes the task, audience, evidence, constraints, and output format. What does that improve?",v02712-effective-prompting-literacy-q1-correct,The current context the model uses for this run.,"Use model literacy to prompt clearly: shape current context, provide evidence and constraints, and remember prompting is not magic, training, or truth guarantee."
8,New Dawn,,effective-prompting-literacy,Effective Prompting from Model Literacy,2,v02712-effective-prompting-literacy-q2,misconception-check,Why is prompting not magic wording?,v02712-effective-prompting-literacy-q2-correct,"It shapes context, constraints, and examples for a probabilistic model.","Use model literacy to prompt clearly: shape current context, provide evidence and constraints, and remember prompting is not magic, training, or truth guarantee."
8,New Dawn,,effective-prompting-literacy,Effective Prompting from Model Literacy,3,v02712-effective-prompting-literacy-q3,human-use-judgment,A user asks for a citation but provides no source and no retrieval tool is connected. What should model literacy suggest?,v02712-effective-prompting-literacy-q3-correct,Ask for sources or retrieval; do not trust citation-shaped output alone.,"Use model literacy to prompt clearly: shape current context, provide evidence and constraints, and remember prompting is not magic, training, or truth guarantee."
8,New Dawn,,effective-prompting-literacy,Effective Prompting from Model Literacy,4,v02712-effective-prompting-literacy-q4,model-trace,How does effective prompting fit with human responsibility?,v02712-effective-prompting-literacy-q4-correct,"It improves the current run while keeping review, evidence, and accountability visible.","Use model literacy to prompt clearly: shape current context, provide evidence and constraints, and remember prompting is not magic, training, or truth guarantee."
8,New Dawn,,model-literate-synthesis,Model Literate Synthesis,1,v02712-model-literate-synthesis-q1,model-trace,A learner traces one answer from prompt to output. Which trace keeps the mechanism clear?,v02712-model-literate-synthesis-q1-correct,Prompt tokens become IDs and embeddings; layers shape states; scores become probabilities; sampling appends tokens.,"Synthesize the full prompt-to-response path and use it to make better human judgments about evidence, limits, risks, benefits, and accountability."
8,New Dawn,,model-literate-synthesis,Model Literate Synthesis,2,v02712-model-literate-synthesis-q2,boundary,"A model-literate explanation separates durable, temporary, retrieved, and generated pieces. Which separation is strongest?",v02712-model-literate-synthesis-q2-correct,Weights persist; context and states are temporary; retrieval adds context.,"Synthesize the full prompt-to-response path and use it to make better human judgments about evidence, limits, risks, benefits, and accountability."
8,New Dawn,,model-literate-synthesis,Model Literate Synthesis,3,v02712-model-literate-synthesis-q3,human-use-judgment,"In Model Literate Synthesis, what should learners do when fluency outruns support?",v02712-model-literate-synthesis-q3-correct,"Look for grounding, sources, uncertainty, and human review.","Synthesize the full prompt-to-response path and use it to make better human judgments about evidence, limits, risks, benefits, and accountability."
8,New Dawn,,model-literate-synthesis,Model Literate Synthesis,4,v02712-model-literate-synthesis-q4,model-trace,Why does following one prompt across the whole day help final synthesis?,v02712-model-literate-synthesis-q4-correct,"It connects training history, inference mechanics, evidence, risks, costs, and human use.","Synthesize the full prompt-to-response path and use it to make better human judgments about evidence, limits, risks, benefits, and accountability."
8,New Dawn,,model-literate-synthesis,Model Literate Synthesis,5,v02712-model-literate-synthesis-q5,human-use-judgment,What is the badge-level mental model Prompt Life wants to leave behind?,v02712-model-literate-synthesis-q5-correct,"LLMs are powerful pattern systems whose outputs need evidence, context awareness, and responsibility.","Synthesize the full prompt-to-response path and use it to make better human judgments about evidence, limits, risks, benefits, and accountability."
