index,id,title,visualType,priority,recommendation,recommendationNote,objective,captionTitle,caption,labelCount,sampleLabels,screenshot
1,before-morning-llm-cloud,Prompt to Prediction,generated PNG or image asset,P3,Keep,Generated asset works well as the opening mechanism visual; keep text in HTML captions.,Show current context flowing through learned weights into one generated token.,Prompt to Prediction,"Prompt to PredictionScore, choose, append, repeatCurrent context enters the model, learned weights shape next-token probabilities, one token is generated, and the response grows token by token.1Context enters The current prompt and response-so-far become the visible input for this run.2Weights shape probabilities Learned weights, built earlier during training, shape next-token scores.3One token is generated The model chooses one response token from the probability cloud.4Response grows That token is appended, then the model runs again.Key takeaway: An LLM turns context into next-token probabilities.Accessible description: A prompt ribbon enters a folded-paper model cloud and one token-like bead leaves it. The explanation emphasizes that context enters, learned weights shape probabilities, one token is generated, and the response grows one token at a time.",0,,screenshots/v0-27-15/01-before-morning-llm-cloud.png
2,ai-family-tree,AI Family Tree,coded SVG,P3,Keep,Readable topology visual; tap/reveal behavior supports the category map.,Give learners a simple topology of AI categories before the history card introduces rules-first and learned-pattern traditions.,AI Family Tree,"AI Family TreeWhere LLMs fitA clean taxonomy tree shows AI as the broad field, machine learning as one branch inside AI, and LLMs as one branch inside generative AI.1AI AI is the broad field.2Machine learning Machine learning systems learn patterns from data.3Deep learning Deep learning is a neural-network branch of machine learning.4Generative AI Generative AI creates new media, such as text, images, audio, code, or video.5LLMs LLMs generate language/code; diffusion and multimodal systems are neighboring generative AI branches.Key takeaway: An LLM is one kind of generative AI inside the broader AI family.Accessible description: A taxonomy tree starts at AI. One branch is Rule-based AI. Another branch is Machine learning, which splits into Classical ML and Deep learning. Deep learning splits into Other deep learning and Generative AI. Generative AI branches into LLMs, Diffusion, and Multimodal systems.",10,AI | Rule-based AI | Machine learning | Classical ML | Deep learning | Other deep learning | Generative AI | LLMs | Diffusion | Multimodal,screenshots/v0-27-15/02-ai-family-tree.png
3,traditions,Rules and Learned Patterns,coded SVG,P3,Keep,Rules versus learned-patterns visual is clear; Loss has glossary support.,Contrast explicit rules with learned patterns without turning the diagram into a poster.,Rules and Learned Patterns,"Rules and Learned PatternsTwo traditions, one modern toolkitRules-first AI uses symbols and if-then logic; deep learning learns from examples by predicting, measuring loss, and updating weights.1Rules Symbolic systems use explicit if/then logic and symbols.2Examples Loss is the training signal: it measures prediction error so weights can be adjusted.3Bridge Modern systems often combine learned models with rules, retrieval, tools, filters, and policies.Key takeaway: Modern AI often blends learned patterns with hand-built rules and tools.Accessible description: Two side-by-side panels compare rules, symbols, and if-then logic with examples, loss as a prediction-error signal, and weights, joined by a bridge labeled combine both.",9,Rules | symbols | if-then | logic | Patterns | examples | loss | weights | Combine both,screenshots/v0-27-15/03-traditions.png
4,training-loop,Training Loop,coded SVG,P3,Keep,"Training loop clearly separates examples, loss, and weight update.",Show the sequence of training and make the durable weight-update step visually distinct.,Training Loop,"Training LoopDurable change happens at weight updatePredict, compare, loss, update weights, repeat. Training changes weights.1Predict The model predicts a target.2Compare The prediction is compared with the target.3Loss Loss measures error.4Update weights Weight updates are the durable-change step.5Repeat The loop repeats many times.Key takeaway: Training changes weights; ordinary inference does not.Accessible description: A five-step loop moves from Predict to Compare to Loss to Update weights to Repeat, with Update weights highlighted.",11,Predict | Compare | Loss | Update weights | Repeat | 1 | 2 | 3 | 4 | 5 | durable change,screenshots/v0-27-15/04-training-loop.png
5,before-morning-pretraining-landscape,Broad Pretraining,generated PNG or image asset,P3,Keep,Generated landscape communicates scale without replacing accessible HTML copy.,Show broad data exposure shaping durable model weights before ordinary use.,Broad Pretraining,"Broad PretrainingScale, not perfect recallMany examples flow through the training loop. Repeated updates shape weights into broad patterns the model can use later. This does not make the model a perfect memory of its sources.1Many examples flow Pretraining repeats the training loop across enormous collections of examples.2Updates shape weights Prediction errors drive repeated weight updates during training.3Broad patterns form The model learns statistical patterns that can help later prompts.4Not perfect recall Pretraining does not store every source as a searchable memory.Key takeaway: Pretraining builds broad capability, not perfect source recall.Accessible description: Many abstract paper fragments and light streams shape a folded-paper landscape. The explanation emphasizes that many examples flow through training, repeated updates shape weights, broad patterns form, and pretraining is not perfect source memory.",0,,screenshots/v0-27-15/05-before-morning-pretraining-landscape.png
6,overfitting-generalization,Overfitting vs Generalization,coded SVG,P2,Revise later,"Set-aside validation is explained, but future polish should make the held-back examples visually unmistakable at 320px.",Memorizing training examples is not the same as learning patterns that transfer to set-aside validation examples.,Overfitting vs Generalization,Overfitting vs GeneralizationMemorizing training examples is not the same as learning patterns that transfer to set-aside validation examples.1Point 1 Training examples are old dots the model fit during training.2Point 2 Point 2: Validation examples are set aside - kept out of training - to test transfer.3Point 3 The overfit curve traces old dots too tightly.4Point 4 The generalizing curve is smoother and reaches new examples.,5,too fitted | train | validation | overfit | smooth,screenshots/v0-27-15/06-overfitting-generalization.png
7,before-morning-finetuning-path,Fine-Tuning Path,generated PNG or image asset,P2,Revise later,"Generated image is usable, but a future coded callout should contrast durable adaptation with prompt, RAG, and sampling more explicitly.",Show targeted training carving a more specific path through a pretrained model landscape.,Fine-Tuning Path,"Fine-Tuning PathDurable adaptation after pretrainingFine-tuning starts from a pretrained base, adds targeted examples or preference data, and shapes future responses more durably than one prompt.1Pretrained base Fine-tuning begins with a model already shaped by broad pretraining.2Targeted data Examples, domain data, or preference data guide the additional training step.3Future responses The training changes how the model is likely to behave later.4More than a prompt Fine-tuning is durable adaptation, unlike one temporary prompt or retrieved document.Key takeaway: Fine-tuning adapts future behavior through additional training.Accessible description: A glowing path crosses a folded-paper terrain with small example cards nearby. The explanation emphasizes that fine-tuning starts from a pretrained base, adds targeted examples or preference data, shapes future responses, and is more durable than one prompt.",0,,screenshots/v0-27-15/07-before-morning-finetuning-path.png
8,before-morning-alignment-garden,Alignment Landscape,generated PNG or image asset,P3,Keep,Generated visual supports the alignment metaphor; captions keep limits explicit.,"Show alignment as guided behavior shaping, not moral understanding.",Alignment Landscape,"Alignment LandscapeShaping behavior, not conscienceAlignment encourages preferred behavior, uses guardrails to reduce risky paths, and relies on feedback and policies without giving the model a conscience.1Preferred behavior Training and system design can encourage more useful response patterns.2Guardrails Runtime safeguards can reduce risky paths during use.3Feedback and policies Human feedback, evaluations, policies, and filters can shape behavior.4No conscience Alignment does not give the model moral understanding or a truth guarantee.Key takeaway: Alignment shapes behavior, but it is not magic morality.Accessible description: A calm folded-paper garden contains a glowing path, soft guardrails, compass-like light, and muted warning zones. The explanation emphasizes that preferred behavior is encouraged, guardrails reduce risky paths, feedback and policies shape behavior, and the model does not gain conscience.",0,,screenshots/v0-27-15/08-before-morning-alignment-garden.png
9,inference-pass,Forward Pass,coded SVG,P3,Fixed this pass,"Tiny output label changed from the example word to token so it reads as generated-token output, not a mysterious component.",Make temporary inference state central while keeping durable weights visibly fixed.,Forward Pass,"Forward PassFixed weights, temporary activationsInference uses fixed weights to create temporary activations, hidden states, and next-token scores.1Context The current prompt, retrieved text, conversation, and response-so-far enter the run.2Fixed weights The learned weights are used but not normally updated.3Temporary activations The run creates temporary internal states that lead to next-token scores.4Next token Decoding chooses one response token, then the loop can repeat.Key takeaway: Inference is a forward pass, not durable training.Accessible description: The diagram sends current context through fixed weights into a central temporary activation tray, then toward next-token scores and one generated token.",10,context | temporary | activations | scores | token | fixed weights | 1 | 2 | 3 | 4,screenshots/v0-27-15/09-inference-pass.png
10,prompt-response,Prompt vs Response,coded HTML/CSS,P3,Keep,"Recent stacked-panel repair is crisp and separates given prompt, response-so-far, next token, and updated context.","Separate the complete user prompt from response-so-far, next token, and the current context for the next run.",Prompt vs Response,"Prompt vs ResponseGiven context versus generated tokensPrompt tokens are given to the model; response tokens are generated one at a time and appended to the next context.1Given prompt The request ""Describe two pets in conflict"" is already provided input.2Generated response The response-so-far ""A jealous dog"" was generated by the model.3Next token The newly selected token ""chased"" is appended to the response.4Updated context The next run sees prompt plus response so far plus the new token.Key takeaway: Prompt is given; response tokens are generated and appended.Accessible description: A roomier stacked visual shows given prompt tokens, generated response-so-far tokens, a separate newly selected next token, and an updated-context tray that combines them for the next run.",12,Describe | two pets | conflict | A | jealous | dog | chased | prompt | A | jealous | dog | chased,screenshots/v0-27-15/10-prompt-response.png
11,tokenization,Text to Tokens,coded HTML/CSS,P2,Watch,Recent token-chip repair is mostly readable; keep watching the final token/punctuation example at 320px.,"Show that tokens can be words, word pieces, punctuation, or other chunks.",Text to Tokens,"Text to TokensUneven chunks, punctuation includedText is split into model-readable chunks before token IDs and embedding lookup.1Simplified split A | jealous | dog | chased | a | startled | cat | across | the | kitchen | floor | .2Uneven chunks Some tokenizers may split words or punctuation, such as start | led or floor | .3Teaching note This app uses a simplified split; real tokenizer output can differ.Key takeaway: Tokens are model-readable chunks, not always human words.Accessible description: The visual starts with a sentence, then shows simplified token chips and uneven examples for startled and floor punctuation.",18,A | jealous | dog | chased | a | startled | cat | across | the | kitchen | floor | . | startled | start | led | floor. | floor | .,screenshots/v0-27-15/11-tokenization.png
12,token-ids,Token IDs,coded SVG,P3,Keep,Lookup-key flow is clear and avoids implying the ID contains meaning.,"Separate the token string, its numeric ID, and the embedding row the ID selects.",Token IDs,"Token IDsLookup keys, not meaningEach token gets a lookup number that points to an embedding-table row.1Token dog, cat, and floor are text chunks.2ID 421, 982, and 1576 are lookup keys.3Embedding row The ID points to the learned starting vector row.4Limit The number itself is not the meaning.Key takeaway: Token IDs point; they do not understand.Accessible description: Three token cards connect to ID cards, which connect to highlighted rows in an embedding table.",16,"token | ID | table row | dog | ID 421 | row | cat | ID 982 | row | floor | ID 1576 | row | ID is a lookup key, not meaning | 1 | 2 | 3",screenshots/v0-27-15/12-token-ids.png
13,embeddings,Embedding Lookup,coded SVG,P3,Keep,Durable table versus temporary vector is clear.,Distinguish the durable learned table from the temporary vector retrieved for the current run.,Embedding Lookup,"Embedding LookupDurable table, temporary vectorA token ID retrieves a learned starting vector from a durable embedding table.1Durable table The embedding table was learned during training.2Temporary retrieval Inference retrieves one row for the current context.3Starting vector The retrieved vector starts the token in numerical space.4Hidden state later Transformer layers later reshape it into context-shaped hidden states.Key takeaway: Embedding means learned starting vector, not dictionary definition.Accessible description: ID 1576 points into a durable table, retrieves one temporary vector, and then a later hidden-state note sits downstream.",12,ID 1576 | durable | table | row 1 | row 2 | row 3 | row 4 | hidden later | 1 | 2 | 3 | 4,screenshots/v0-27-15/13-embeddings.png
14,vectors,Feature Vector,coded SVG,P2,Revise later,Abstract feature dimensions are correct but could use a less dense future visual for nontechnical learners.,Let learners compare a simplified slider view with unlabeled distributed numerical features.,Feature Vector,Feature VectorTeaching labels versus distributed featuresA vector is a list of numbers; real features are distributed rather than neat English sliders.1Teaching sliders Labels such as animal-ish or tone are simplified for learning.2Distributed features Real model features are spread across many dimensions.3Why vectors Vectors let the model compute with fuzzy numerical relationships.Key takeaway: Vectors are useful because many fuzzy features can vary at once.Accessible description: The visual contrasts labeled teaching sliders with unlabeled distributed bars and dots.,10,teaching sliders | animal-ish | grammar | tone | position | distributed | real dimensions are usually unlabeled | 1 | 2 | 3,screenshots/v0-27-15/14-vectors.png
15,tensors,Tensor Block,coded SVG,P2,Revise later,Tensor blocks are accurate but visually abstract; future pass can clarify dimensions and temporary/durable status.,"Show token positions, feature dimensions, and an optional batch note without a heavy 3D library.",Tensor Block,"Tensor BlockToken axis plus feature axisTensors organize many token vectors so model layers can process them.1Token axis Each row can represent one visible token position.2Feature axis Each column can represent one vector dimension.3Batch note Systems may process shapes like batch x tokens x features.Key takeaway: Tensors are shaped numerical blocks, not mystery objects.Accessible description: A lightweight axis diagram shows token labels down the side, feature labels across the top, and a translucent batch sheet behind the grid.",9,dog | cat | floor | tokens | features | batch sheet | 1 | 2 | 3,screenshots/v0-27-15/15-tensors.png
16,attention,Attention Weave,coded SVG,P3,Keep,Attention arcs support weighted relevance without implying awareness.,Use a concrete sentence to show that attention weights token relevance without implying awareness.,Attention Weave,"Attention WeaveRelevance, not awarenessAttention assigns temporary relevance weights between token positions in the current context.1Current context The visible tokens include dog, cat, because, it, and hissed.2Strong relation In this sentence, it is most relevant to cat.3Weaker relation dog is nearby and possible in other sentences, but it hissed points to cat here.4Limit Attention computes relevance weights. It is not human awareness.Key takeaway: Attention is relevance between token positions, not consciousness.Accessible description: The diagram shows token nodes dog, cat, because, it, and hissed. A strong arc connects it to cat, and a weaker arc connects it to dog, with a label saying relevance, not awareness.",9,"dog chased cat because it hissed | dog | cat | because | it | hissed | strong | weaker | relevance, not awareness",screenshots/v0-27-15/16-attention.png
17,mlp,MLP Feature Workshop,coded SVG,P3,Keep,Per-token feature reshaping is communicated with concise labels.,Show the attention-versus-MLP distinction: attention mixes token positions; MLP reshapes each token vector independently.,MLP Feature Workshop,"MLP Feature WorkshopSame token, reshaped featuresAfter attention mixes across tokens, the MLP reshapes features within each token position.1Attention first Token positions can exchange current-context information.2Same position The example token cat stays in the same position.3MLP reshape Feature bars change for that token position.4Temporary values The MLP has durable weights, but the feature values during inference are temporary activations.Key takeaway: Attention mixes across positions; the MLP reshapes features within a position.Accessible description: The diagram shows an attention step where token positions exchange context, then one cat token moves into an MLP panel where its feature bars change from before to after.",8,attention | tokens exchange | cat | MLP | same token | before | after | feature bars reshaped,screenshots/v0-27-15/17-mlp.png
18,layers,Transformer Stack,coded SVG,P3,Keep,Stacked transformations remain readable and emphasize repetition.,Show repeated transformer blocks without implying human thought steps.,Transformer Stack,"Transformer StackRepeated attention plus MLPLayers repeat attention and MLP transformations to refine temporary hidden states.1Input states Current-context hidden states enter the stack.2Repeated block Each layer applies attention and an MLP, with residual paths and normalization helping signal flow.3Output states Refined hidden states continue toward next-token scores.4Limit Layers are repeated numerical transformations, not conscious reasoning steps.Key takeaway: Layers refine hidden states; they do not store permanent memory.Accessible description: A vertical stack shows input hidden states moving through Layer 1, Layer 2, and Layer 3, each labeled attention plus MLP, then into output hidden states.",5,input states | Layer 1: attn + MLP | Layer 2: attn + MLP | Layer 3: attn + MLP | output states,screenshots/v0-27-15/18-layers.png
19,hidden-states,Hidden State Flow,coded SVG,P3,Keep,Temporary context-shaped state is visually distinct from visible text.,"Contrast embedding, hidden state, weight, memory, and visible text without making hidden states mysterious.",Hidden State Flow,"Hidden State FlowTemporary during this forward passA token starts with an embedding and becomes context-shaped hidden states as it moves through layers.1Embedding A learned starting vector is retrieved for a token ID.2Hidden states Layers reshape that vector into temporary context-shaped states.3Scores later Final hidden states help produce next-token scores.4Not memory A hidden state is not visible text, permanent memory, or a stored fact.Key takeaway: Hidden states are temporary internal vectors shaped by current context.Accessible description: A flow moves from Token ID to Embedding, then Layer 1 hidden state, Layer 2 hidden state, Final hidden state, and next-token scores. A side note contrasts durable weights with temporary hidden states and says memory is not what this is.",10,ID | Embed | L1 | L2 | Final | Scores | weight: durable | state: temporary | not memory | temporary during this forward pass,screenshots/v0-27-15/19-hidden-states.png
