index,id,title,visualType,priority,recommendation,recommendationNote,objective,captionTitle,caption,labelCount,sampleLabels,screenshot
20,logits,Raw Scoreboard,coded SVG,P3,Keep,Raw score bars clearly precede probabilities and truth checks.,Show final hidden state becoming raw vocabulary scores before softmax.,Raw Scoreboard,"Raw ScoreboardBefore probabilitiesThe final hidden state feeds candidate next-token scores. These logits rank candidates, but they are raw scores, not probabilities or truth.1Hidden state arrives The final context-shaped vector reaches the output scoring step.2Candidates get scores Possible next tokens such as floor, room, counter, and quantum receive raw logits.3Scores rank candidates Higher score means stronger local candidate, not guaranteed truth.4Softmax comes next Softmax converts raw scores into probabilities.Key takeaway: Logits are raw next-token scores, not probabilities and not truth.Accessible description: The diagram starts with a final hidden state flowing into an output score panel. Candidate tokens floor, room, counter, and quantum have raw score bars from high to very low. A label says raw scores, not probabilities.",12,"hidden state | score | next? | floor | 8.2 high | room | 5.1 med | counter | 2.0 low | quantum | -1.0 v low | raw scores, not probabilities",screenshots/v0-27-15/20-logits.png
21,softmax,Score to Probability,coded SVG,P3,Keep,Raw scores to probabilities is readable and mathematically bounded.,Show raw-score values becoming rounded probabilities that sum to one.,Score to Probability,"Score to ProbabilityNormalize before choosingSoftmax converts raw logits into probabilities that sum to 100%. High probability means likely under the model, not guaranteed true.1Logits go in Raw scores such as 8.2, 5.1, 2.0, and -1.0 enter softmax.2Softmax converts The function turns score differences into a probability distribution.3Probabilities come out The rounded teaching values sum to 100%.4Not truth Probability is about model likelihood, not evidence or correctness.Key takeaway: Softmax turns raw scores into probabilities; it does not verify truth.Accessible description: The diagram shows raw logits for floor, room, counter, and quantum on the left, a softmax arrow in the middle, and probabilities of 86 percent, 12 percent, 2 percent, and about zero percent on the right with a sum equals 100 percent note.",18,logits | probabilities | soft | max | floor | 8.2 | 86% | room | 5.1 | 12% | counter | 2.0 | 2% | quantum | -1.0 | ~0% | sum = 100% | probability != truth,screenshots/v0-27-15/21-softmax.png
22,sampling,Weighted Token Choice,coded SVG,P3,Keep,Weighted choice visual supports probability-not-truth distinction.,Show probability weights and the single selected next token before autoregression repeats.,Weighted Token Choice,"Weighted Token ChoiceOne token chosenSampling chooses one next response token from probabilities. Probability is not truth: a low-probability token can still be possible, and a likely token can still be unsupported.1Probability candidates floor is strongest, room is plausible, counter is weak, and quantum is barely likely in this context.2One token chosen The decoding step chooses one next response token.3Append next The chosen token is appended before the model runs again.4Not truth A likely token can still be unsupported or wrong in a wider factual claim.Key takeaway: Sampling chooses one token from probabilities; probability is not truth.Accessible description: The diagram shows weighted candidates floor at 86 percent, room at 12 percent, counter at 2 percent, and quantum at about zero percent. A highlighted selected-token card says floor and a note says one token chosen. Probability is not truth.",13,A jealous dog chased a startled cat | across the kitchen | floor | 86% | room | 12% | counter | 2% | quantum | ~0% | floor | chosen token | low probability is still possible,screenshots/v0-27-15/22-sampling.png
23,autoregression,Append and Repeat,coded SVG,P3,Keep,"Loop visual clearly shows choose, append, repeat.","Make the autoregressive loop concrete: choose one token, append it, run the model again, and grow the response.",Append and Repeat,"Append and RepeatOne token, append, run againThe chosen token ""floor"" is appended to the response-so-far, then the model runs again.1Response so far The model has generated: A jealous dog chased a startled cat across the kitchen.2Choose token Sampling chooses one next token, here ""floor"".3Append The chosen token becomes part of the temporary current context.4Run again The next forward pass sees the longer response-so-far and chooses again.Key takeaway: Autoregression is choose, append, repeat; it is not permanent learning.Accessible description: A concrete loop shows the user prompt, response so far, the chosen token floor, the updated context, and the steps choose token, append, run again, and response grows.",10,User prompt: pets in conflict | response so far | ...cat across the kitchen | 1 | floor | 2 | next context | prompt + response so far + floor | 3 | choose -> append -> run again,screenshots/v0-27-15/23-autoregression.png
24,context-window,Temporary Context Window,coded SVG,P3,Keep,Temporary context capacity and fall-out behavior are easy to read.,"Show the context window as temporary capacity: system, user, retrieved, and response-so-far cards can fit, while old context can fall out.",Temporary Context Window,"Temporary Context WindowLimited visible inputOnly the cards still inside the context tray can influence the next token.1Visible now System instructions, the user prompt, retrieved notes, and response-so-far may all be current context.2Limited tray When the tray fills, older material can fall out or need summarizing by the surrounding system.3Temporary Context can feel like memory, but it does not normally update weights or create permanent memory.4Next token The model can use only what remains visible in the current run.Key takeaway: Context is temporary visible input, not durable memory.Accessible description: A four-slot context tray contains system, user prompt, retrieved note, and response-so-far cards, while an old message sits outside the tray as fallen-out context.",10,"four-slot context tray | 1 | Sys | User | RAG | So far | Old | fell out | visible now | temporary input, not memory",screenshots/v0-27-15/24-context-window.png
25,rag-retrieval,Open-Book Retrieval,coded SVG,P3,Keep,Open-book retrieval flow clearly places retrieved text into context.,Show that RAG retrieves outside information and places it into context; it does not train the model.,Open-Book Retrieval,"Open-Book RetrievalRetrieval plus context, not trainingRetrieved notes enter the context before response tokens are generated.1Ask The user prompt starts the run.2Retrieve A search system finds relevant outside material.3Add to context Retrieved notes become temporary context tokens.4Generate The model still generates response tokens one at a time.5Weights stay fixed RAG does not normally update model weights.Key takeaway: RAG is retrieval plus context, not training.Accessible description: The RAG diagram moves from Prompt to Retriever to Notes, then into a Context tray and Generated response, with a separate fixed-weights note.",11,Prompt | 1 | Retriever | 2 | Notes | 3 | Context tray | Response | 4 | weights fixed | 5,screenshots/v0-27-15/25-rag-retrieval.png
26,grounding-evidence,Claim Support Map,coded SVG,P3,Keep,Claim-to-evidence structure reinforces grounding without a truth guarantee.,"Show grounding as a claim-to-evidence support relationship, not a truth guarantee.",Claim Support Map,"Claim Support MapTying answers to evidenceGrounding asks whether generated claims are actually connected to available evidence.1Claim A generated answer can contain several claims.2Evidence Retrieved passages, data, citations, or tool results can support some claims.3Support check A citation-looking answer is not grounded unless the evidence actually matches the claim.4Limit Grounding helps, but the evidence and its use still need review.Key takeaway: Grounding ties claims to evidence; it does not make every claim true.Accessible description: Two generated claims are shown. One claim connects to a retrieved policy passage and data result. A second claim has a missing support line and is marked needs review.",8,Claim: policy allows X | 1 | Claim: always free | 2 | Policy passage | Data result | supported by evidence | needs review,screenshots/v0-27-15/26-grounding-evidence.png
27,hallucination-bridge,Unsupported Bridge,coded SVG,P3,Keep,Unsupported bridge metaphor communicates fluent output outrunning support.,"Show hallucination as fluent generated output without enough evidence support, without implying lying or intent.",Unsupported Bridge,"Unsupported BridgeFluent is not always groundedA response can look smooth while one claim has support, another is uncertain, and another lacks evidence.1Fluent surface The output may read smoothly and confidently.2Supported claim One claim can be tied to evidence.3Missing support Another claim may lack evidence, citation, or retrieved context.4Review Grounding, uncertainty, and human review reduce risk but do not erase it.Key takeaway: Fluency is not evidence.Accessible description: A smooth output bridge crosses the scene. One evidence pillar supports a claim, one support is marked uncertain, and one is missing, with a review note below.",10,fluent output | 1 | supported | uncertain | missing | evidence | 2 | check source | 3 | fluency is not evidence,screenshots/v0-27-15/27-hallucination-bridge.png
28,ai-learns,Learning Modes Matrix,coded SVG,P2,Revise later,Matrix is accurate but dense; future pass should make durable versus temporary categories more scannable.,"Compare ways systems change, retrieve, or are steered without implying every useful response updates model weights.",Learning Modes Matrix,"Learning Modes MatrixDurable change or current-run steeringTraining, fine-tuning, feedback, prompting, RAG, and evaluation affect different parts of an AI system.1Training Pretraining and fine-tuning can durably update weights or adapter weights.2Prompting Prompts and in-context examples steer the current run.3RAG Retrieval adds outside material to context; it does not normally train the model.4Evaluation Review and tests can help future systems when results feed development or training.Key takeaway: Not all useful AI behavior is durable learning.Accessible description: A compact matrix compares training, fine-tuning, human feedback, prompting, RAG, and evaluation across weight changes, current context, future behavior, and timing.",30,mode | weights? | context? | future? | when | Training | yes | no | yes | before | Fine-tune | yes | no | yes | after | Feedback | maybe | no | yes | review | Prompt | no | yes | no | run | RAG | no | yes | no | run,screenshots/v0-27-15/28-ai-learns.png
29,diffusion,Append Or Denoise,coded SVG,P3,Keep,Append-versus-denoise contrast is direct and avoids ChatGPT-as-all-AI.,Make LLM token-by-token generation visibly different from diffusion denoising.,Append Or Denoise,"Append Or DenoiseTwo generation patternsAutoregressive text generation appends tokens; diffusion-style generation refines noisy patterns.1Autoregression The text response grows by choosing and appending one token at a time.2Diffusion A noisy representation is refined step by step toward an output.3Both generative Both can create new outputs, but the generation patterns differ.Key takeaway: Generative AI is not one mechanism.Accessible description: A split diagram shows an autoregressive lane with token, append, token, append and a diffusion lane with noise, rough shape, clearer image, final.",11,Autoregression | A jealous | dog | floor | append | Diffusion | noise | rough | clear | final | denoise and refine,screenshots/v0-27-15/29-diffusion.png
30,multimodal,Media Lane Map,coded SVG,P3,Keep,Media lanes are readable and avoid human-senses overclaim.,Show multiple media inputs and outputs without implying human-like perception.,Media Lane Map,"Media Lane MapInput, representation, outputMultimodal systems connect text, images, audio, video, and code through learned representations or linked components.1Inputs Text, image, audio, video, or code can enter the system.2Representation The system encodes media into model-usable representations or linked spaces.3Outputs Depending on the system, outputs may be answers, captions, images, audio, or code.4Limit Multimodal processing is not human sensation or experience.Key takeaway: Multimodal means more than one media type, not human-like perception.Accessible description: Inputs for text, image, audio, video, and code flow into a connected representation space, then to outputs such as caption, answer, image, audio, and code.",13,"text | image | audio | video | code | shared | space | caption | answer | image | audio | code | media lanes, not human senses",screenshots/v0-27-15/30-multimodal.png
31,perfect-storm,Storm Front,coded SVG,P3,Keep,"Repaired convergence layout is readable and keeps “convergence, not spark” out of the diagram body.",Show convergence without implying one magic breakthrough.,Storm Front,"Storm FrontWhy LLMs arrived nowData, compute, storage, methods, labor, and incentives converged into modern LLM capability.1Data Human-created text, media, code, and documents supplied patterns.2Compute and storage Hardware, data centers, datasets, and checkpoints made large-scale training practical.3Methods Deep learning and transformer advances made the patterns usable.4Labor and incentives Human evaluation work and market demand pushed systems into products.Key takeaway: Modern LLMs came from a convergence, not a single spark.Accessible description: Six short ingredient chips labeled Data, Compute, Storage, Methods, Labor, and Incentives flow into a centered Modern LLM capability node.",8,Data | Compute | Storage | Methods | Labor | Incentives | Modern LLM | capability,screenshots/v0-27-15/31-perfect-storm.png
32,collective-intelligence-lantern,Borrowed Flames,coded SVG,P1,Revise later,"Important provenance/labor idea is still abstract; future visual should make data, labor, and extraction relationships more concrete.",Make human-created source traces visible without treating the model as humanity’s mind.,Borrowed Flames,"Borrowed FlamesNo creators, no modelHuman-created traces can become training data and model patterns, while rights and responsibility remain human questions.1Human expression Books, sites, code, art, journalism, forums, documentation, and research leave learnable traces.2Collection questions Provenance, consent, copyright, attribution, and compensation matter.3Model limit The model absorbs statistical patterns; it does not understand gratitude or responsibility.Key takeaway: The model did not create its abilities alone.Accessible description: Human-created writing, code, art, research, forums, and documentation flow into training data, while a rights-question note stays outside the model mechanics.",9,Writing | Code | Art | Research | Forums | Docs | Training | data | rights questions,screenshots/v0-27-15/32-collective-intelligence-lantern.png
33,benefits-tool-garden,Benefit Tiers,coded SVG,P1,Revise later,Benefit tiers need sharper connection to realistic use plus human review.,"Separate useful reviewed benefits, plausible guarded benefits, and speculative hype.",Benefit Tiers,"Benefit TiersBenefits without utopiaAI benefits are easiest to trust when claims are tiered by evidence, context, safeguards, and human review.1Useful now with review Accessibility, translation support, summarization, search/RAG, drafting, and coding assistance can help under human review.2Plausible with safeguards Tutoring support, research triage, brainstorming, and workflow support should be evaluated in context.3Speculative / hype Broad utopia, replacement, or no-cost claims should not be stated as fact.Key takeaway: Benefits can be real and still bounded.Accessible description: Three benefit buckets sort claims into useful now with review, plausible with safeguards, and speculative or hype.",18,Benefit confidence tiers | Useful now | + review | Access | Translate | Summarize | Search/RAG | Plausible | + safeguards | Tutoring | Triage | Workflow | Speculative | / hype | Solves all | Replaces judgment | No costs | Real help needs evidence + review,screenshots/v0-27-15/33-benefits-tool-garden.png
34,costs-invisible-factory,Cost Ledger,coded SVG,P1,Revise later,Cost categories are important and can become crowded; future pass should make costs easier to scan.,Make AI costs visible as a ledger without inventing statistics or fear-heavy imagery.,Cost Ledger,"Cost LedgerThe answer is not weightlessAI systems depend on infrastructure, human systems, and governance choices that need honest accounting.1Infrastructure Energy, water, carbon, data centers, chips, and e-waste vary by system and workload.2Human systems Labor disruption, deskilling, privacy, bias, and information pollution depend on deployment choices.3Power Concentration of data, compute, and capital affects who benefits and who decides.Key takeaway: Costs vary, but they are real enough to count.Accessible description: An AI answer points into a ledger with infrastructure, human systems, and power or governance categories.",14,AI answer | Cost | ledger | Infra | Energy | Water | Chips | E-waste | Human | Labor | Privacy | Skill | Bias | Governance,screenshots/v0-27-15/34-costs-invisible-factory.png
35,human-centered-ai-garden,Accountability Flow,coded SVG,P1,Revise later,Accountability flow should be made more operational and less metaphor-dependent.,Make human-centered AI concrete through a support-note accountability scenario.,Accountability Flow,"Accountability FlowTools should serve dignityA human-centered deployment treats AI output as support inside a decision context, then keeps review, governance, and accountable action with people.1Human judgment People remain accountable for high-stakes decisions and institutional use.2Dignity Speed, profit, and automation should not outrank persons, learning, or relationships.3Model limit A model can sound ethical without moral understanding.Key takeaway: Powerful tools still need human purpose.Accessible description: An AI summary moves into a decision context affecting people, then flows through human review and governance before accountable action.",8,AI summary | Decision | context | People | Human | review | Governance | + action,screenshots/v0-27-15/35-human-centered-ai-garden.png
36,responsible-ai-forked-path,Better-AI Control Panel,coded SVG,P1,Revise later,Governance/control-panel idea should be clearer for institutional decision makers.,Show practical design and governance levers without pretending governance is simple.,Better-AI Control Panel,"Better-AI Control PanelResponsible AI is chosenAI outcomes are shaped by design, deployment, governance, incentives, and institutional choices.1Technical choices Smaller models, efficient inference, distillation, RAG, and better hardware use can fit some tasks.2Data choices Provenance, consent, licensing, creator compensation, and privacy-preserving deployment matter.3Institutional choices Human review, policy, labor transition planning, public-interest models, and independent evaluation shape outcomes.Key takeaway: Harms are shaped by choices, not destiny.Accessible description: A compact control panel shows levers for provenance, privacy, efficient inference, RAG, review, evaluation, labor, sustainability, governance, and task fit.",11,Better-AI control panel | Provenance | Privacy | Efficient | RAG | Review | Eval | Labor | Sustain | Govern | Task fit,screenshots/v0-27-15/36-responsible-ai-forked-path.png
37,prompting-context-tray,Context Tray,coded SVG,P3,Keep,Context tray supports prompting-as-context-shaping.,"Show prompting as context design, not permanent teaching.",Context Tray,"Context TrayPrompting steers this runGood prompts pack task, context, constraints, examples, evidence needs, uncertainty, review, and format into the current run.1Prompt parts Task, context, constraints, examples, evidence needs, uncertainty, review, and format shape the current input.2Evidence and uncertainty Source needs, retrieved context, and uncertainty requests can improve reviewability.3Boundary Prompting usually changes context, not weights.Key takeaway: Prompting is context design for one run.Accessible description: Prompt component cards drop into a transparent current context tray before one generated response leaves it.",11,Task | Context | Limits | Example | Evidence | Uncertain | Format | Review | Current context | this run | Response,screenshots/v0-27-15/37-prompting-context-tray.png
38,synthesis-map-compass-lantern,Full Chain Map,coded SVG,P1,Revise later,Full-chain synthesis is the densest visual; needs simplification before badge-facing review.,Close the Journey by connecting the machine chain with human consequences.,Full Chain Map,"Full Chain MapMechanics plus judgmentModel literacy connects prompt, tokens, IDs, embeddings, hidden states, logits, probabilities, sampling, append-and-repeat generation, RAG, grounding, review, and accountability.1Machine chain Prompt context becomes tokens and IDs, then embeddings, hidden states, logits, probabilities, and sampled response tokens.2Evidence chain Context windows, RAG, and grounding can add evidence for this run, but they do not guarantee truth.3Human chain Benefits, costs, review, governance, and accountability remain human responsibilities.Key takeaway: Mechanics matter, and humans remain responsible.Accessible description: A full chain map moves from Prompt to Tokens, IDs, Embeds, States, Logits, Probs, Sample, Append, RAG, Review, and Accountability.",13,Prompt | Tokens | IDs | Embeds | States | Logits | Probs | Sample | Append | RAG | Review | Account. | Mechanics + human judgment,screenshots/v0-27-15/38-synthesis-map-compass-lantern.png
39,risk,Risk Ledger,coded SVG,P2,Revise later,Risk ledger is useful but can be refined so real risks and myths remain balanced and readable.,Separate concrete institutional risks from magical stories without doom or hype.,Risk Ledger,"Risk LedgerMechanisms, not magicRisk literacy separates practical, mechanism-based risks from myths about what models are.1Real mechanisms Privacy exposure, hallucinations, prompt injection, insecure tools, overreliance, and bias can cause practical harm.2Myths Conscious chatbots, omniscient databases, secret self-training during every chat, and softmax stealing files are magical stories.3Human accountability Institutions, vendors, policies, and affected communities shape how risks are prevented and reviewed.Key takeaway: Real AI risks usually come from data, context, tools, institutions, and overreliance, not model consciousness or magic.Accessible description: A two-column ledger sorts real mechanism risks from myths or magical stories.",12,Real risk | Myth / magic | Privacy | Halluc. | Prompt inj. | Tool risk | Overrely | Bias | Conscious | Self-trains | Omniscient | Softmax files,screenshots/v0-27-15/39-risk.png
