stage,cardId,cardTitle,currentVisualTitle,currentVisualType,currentProblem,newRecommendedCategory,reason,image2Allowed,codedVisualRequired,removeVisual,priority,exactNextAction
Before Morning,what-is-llm,What Is an LLM?,Prompt to Prediction,generated-image,"Opening visual is useful, but it should be treated as a polished conceptual image, not a mechanics diagram.",Image 2 Concept Card,This card needs to reduce mystery and set tone; exact next-token mechanics are better handled by HTML callouts.,true,false,false,P1 before human testing,"Keep or regenerate as a textless Image 2 concept card showing prompt input, learned model cloud, and one token emerging."
Before Morning,where-llms-fit,Where LLMs Fit,AI Family Tree,coded-svg,The family-tree relationship is exact enough that a generated image could blur category boundaries.,Coded Mechanism Mini-Diagram,"Learners must see nested/related categories clearly: AI, machine learning, deep learning, generative AI, LLMs, diffusion, and multimodal.",false,true,false,P2 keep through testing,Keep as a coded minimal branch/taxonomy visual with short labels and tap-to-reveal explanations.
Before Morning,history,Rationalists vs Empiricists,Rules and Learned Patterns,coded-svg,"The concept is a boundary between rules-first AI, learned patterns, and hybrids.",HTML Comparison Board,A simple board teaches the distinction better than a decorative image or flowchart.,false,false,false,P2 keep through testing,"Keep as an HTML comparison board; keep loss explanation in callouts/glossary, not inside the board."
Before Morning,training,Training,Training Loop,coded-svg,Training depends on exact step order and the durable weight-update distinction.,Coded Mechanism Mini-Diagram,"Prediction, loss, optimizer, and weight update must remain mechanically controlled.",false,true,false,P2 keep through testing,Keep a coded 4-5 step loop with one highlighted durable weight-update step.
Before Morning,pretraining,Pretraining,Broad Pretraining,generated-image,Scale and broad pattern learning are conceptual; exact mechanics belong in callouts.,Image 2 Concept Card,A polished static image can show many examples shaping a model without implying perfect memory.,true,false,false,P1 before human testing,Use a textless Image 2 concept card showing many blank paper streams shaping a model horizon.
Before Morning,overfitting-generalization,Overfitting and Generalization,Overfitting vs Generalization,coded-svg,The current plot is readable but still risks feeling like a math chart before learners need one.,HTML Comparison Board,The key boundary is training-fit versus validation transfer; a board with one small curve example is enough.,false,false,false,P2 keep through testing,Keep or convert to an HTML comparison board: memorizes old examples versus transfers to set-aside examples.
Before Morning,fine-tuning,Fine-Tuning,Durable vs Temporary Steering,coded-html,"This card is a durable-versus-temporary boundary, not an atmospheric concept.",HTML Comparison Board,"Fine-tuning must be separated from prompting, retrieval, and sampling with high precision.",false,false,false,P1 before human testing,Lock as an HTML comparison board with durable update on one side and current-run steering on the other.
Before Morning,alignment,Alignment,Alignment Landscape,generated-image,Behavior shaping is conceptual and social; a coded mechanism can imply false precision.,Image 2 Concept Card,Image 2 can carry the calm behavior-shaping metaphor while HTML callouts state the conscience boundary.,true,false,false,P1 before human testing,Use a textless Image 2 concept card; keep alignment-versus-conscience language in HTML callouts.
Morning Commute,inference,Inference,Forward Pass,coded-html,Inference requires the fixed-weights versus temporary-activation distinction.,Coded Mechanism Mini-Diagram,"Exact flow matters: context enters, fixed weights are used, temporary values form, scores emerge, next token is selected.",false,true,false,P2 keep through testing,Keep as a coded vertical mechanism strip with no paragraph text in the diagram.
Morning Commute,prompt-response,Prompt vs Response,Prompt vs Response,coded-html,Prompt/response must show generated tokens being appended to context.,Coded Mechanism Mini-Diagram,This is one of the core mental models; static art would blur given input versus generated output.,false,true,false,P1 before human testing,"Keep the crisp stacked coded layout: prompt, response so far, next token, updated context."
Morning Commute,tokens,Tokenization,Text to Tokens,coded-html,Tokenization needs exact chips and uneven splits without awkward wrapping.,Coded Mechanism Mini-Diagram,Learners must see tokens are not always words.,false,true,false,P1 before human testing,Keep as coded token chips with short labels and wrapped rows.
Morning Commute,token-ids,Token IDs,Token IDs,coded-svg,"Token ID lookup is an exact mapping, not a metaphor.",Coded Mechanism Mini-Diagram,"The visual must separate surface text, token chunk, ID, and later vector lookup.",false,true,false,P2 keep through testing,Keep a coded lookup mini-diagram with chips and IDs only.
Morning Commute,embeddings,Embeddings,Embedding Lookup,coded-svg,"Embedding is often confused with hidden state, so the lookup boundary must stay explicit.",Coded Mechanism Mini-Diagram,A coded table/tray can show learned starting vector without implying current-context shaping.,false,true,false,P2 keep through testing,Keep coded lookup: token ID enters a learned table and returns a starting vector.
Morning Commute,vectors,Vectors,Feature Vector,coded-html,The current feature-vector visual risks fake precision and may add little beyond the text.,No Visual Needed / Text Callout Only,"For this audience, a concise callout can say vector equals ordered numbers carrying learned features without requiring a diagram.",false,false,true,P0 before human testing,"Remove or replace with a text callout only; if retained later, use one simple row of numbered chips with no axes."
Morning Commute,tensors,Tensors,Tensor Block,coded-html,The tensor block can look like an arbitrary grid and may create more confusion than clarity.,No Visual Needed / Text Callout Only,The minimum learning objective is that tensors are shaped arrays; callouts can do that without a fake geometry.,false,false,true,P0 before human testing,Remove or replace with a callout-only explanation; defer any coded tensor shape until after learner feedback.
Workday,attention,Attention,Relevance Between Tokens,coded-html,"Attention must remain weighted token-to-token relevance, not human awareness.",Coded Mechanism Mini-Diagram,Exact token arcs and weights should be controlled in code.,false,true,false,P1 before human testing,Keep a coded token-arc mini-diagram with 1-3 word labels and no long text.
Workday,mlp,MLP,Attention vs MLP,coded-html,The lesson depends on distinguishing attention from MLP behavior.,HTML Comparison Board,A board can compare across-token relevance with per-token feature reshaping.,false,false,false,P1 before human testing,Keep as an HTML comparison board: Attention connects positions; MLP reshapes each token.
Workday,layers,Layers,Transformer Layer Strip,coded-html,Layer order and carry-forward behavior are exact enough to keep coded.,Coded Mechanism Mini-Diagram,A minimal strip can show repeated transformations without dense wiring.,false,true,false,P2 keep through testing,Keep coded vertical strip; do not add internal layer math.
Workday,hidden-states,Hidden States,"Embedding, Hidden State, Weight",coded-html,"The card teaches a three-way distinction: embedding, hidden state, and weight.",HTML Comparison Board,A comparison board is clearer than a flowchart.,false,false,false,P1 before human testing,Keep as HTML comparison board with short headings and detailed callouts below.
Decision Room,logits,Logits,Raw Scoreboard,coded-svg,Raw scores need visual precision and must not look like probabilities or truth.,Coded Mechanism Mini-Diagram,Probability bars/scores require controlled values.,false,true,false,P2 keep through testing,Keep coded raw-score bars with HTML callout saying scores are not probabilities.
Decision Room,softmax,Softmax,Score to Probability,coded-svg,Softmax is a precise conversion from raw scores to probabilities.,Coded Mechanism Mini-Diagram,Exact score-to-probability relationship should stay coded.,false,true,false,P2 keep through testing,Keep coded transformation visual with the same token set as logits/sampling.
Decision Room,sampling,Sampling,Weighted Token Choice,coded-svg,Sampling must separate probability from truth and from the final choice.,Coded Mechanism Mini-Diagram,The learner needs controlled probability bars and one selected next token.,false,true,false,P2 keep through testing,Keep coded probability bars plus one selected token; no exact tiny numbers required.
The Day Repeats,autoregression,Autoregression,Append and Repeat,coded-svg,Append-and-repeat is core process mechanics.,Coded Mechanism Mini-Diagram,"A coded mini-diagram can show next token, append, run again, context grows.",false,true,false,P2 keep through testing,Keep coded repeat loop with four short steps.
The Day Repeats,context-window,Context Window,Temporary Context Window,coded-html,Context window is a temporary boundary; it must not look like permanent memory.,Coded Mechanism Mini-Diagram,A coded tray/stack can show what fits and what falls out.,false,true,false,P1 before human testing,Keep coded tray with visible limit and fall-out area.
The Day Repeats,rag-retrieval,RAG and Retrieval,Open-Book Retrieval,coded-svg,"RAG is retrieval plus context, not model learning.",Coded Mechanism Mini-Diagram,The outside-document search step and current-context insertion need exact control.,false,true,false,P1 before human testing,"Keep coded retrieval shelf/tray: user prompt, retriever, retrieved cards, context tray, generated response."
The Day Repeats,grounding,Grounding,Claim Support Map,coded-svg,Grounding must show claim-to-evidence support without guaranteeing truth.,Coded Mechanism Mini-Diagram,"Support lines, missing support, and review markers need careful control.",false,true,false,P1 before human testing,Keep coded claim/evidence support map with sparse labels.
The Day Repeats,hallucinations,Hallucinations,Unsupported Bridge,coded-svg,The key distinction is fluent supported output versus fluent unsupported output.,HTML Comparison Board,A comparison board can teach hallucination versus lying without spooky imagery.,false,false,false,P1 before human testing,"Use/keep HTML comparison board: supported claim, unsupported claim, review."
Twilight: The Wider Landscape,how-ai-learns,How AI Learns,Learning Modes Matrix,coded-svg,This card compares modes; a flowchart invites false sequence thinking.,HTML Comparison Board,"Training, fine-tuning, RAG, prompting, and evaluation should be shown as categories, not steps in one process.",false,false,false,P1 before human testing,Use/keep HTML comparison board with durable change versus current-run support.
Twilight: The Wider Landscape,diffusion,Diffusion vs Autoregression,Append Or Denoise,coded-svg,The lesson is a boundary between autoregressive text and diffusion denoising.,HTML Comparison Board,A two-lane comparison board is clearer than a generative art scene.,false,false,false,P1 before human testing,Keep HTML comparison board: append tokens versus denoise pattern.
Twilight: The Wider Landscape,multimodal,Multimodal AI,Media Lane Map,coded-svg,The current media-lane map is serviceable but still feels diagrammatic and may not need exact wiring.,Image 2 Concept Card,Multimodal is a conceptual family idea; Image 2 can show multiple media streams represented together while HTML explains boundaries.,true,false,false,P0 before human testing,"Replace with textless Image 2 concept card showing text, image, audio, and video-like paper forms entering one shared representation field."
Twilight: The Wider Landscape,perfect-storm,The Perfect Storm,Storm Front,coded-svg,Convergence diagrams have repeatedly created label/alignment pressure on mobile.,Image 2 Concept Card,"A conceptual storm-front image can show convergence while callouts name data, compute, storage, methods, labor, and incentives.",true,false,false,P0 before human testing,Replace with Image 2 concept card; keep all ingredient labels in HTML callouts.
Midnight Ledger,collective-intelligence,"Collective Intelligence, Extracted",Borrowed Flames,coded-svg,The concept is cultural and provenance-focused; coded nodes feel thin.,Image 2 Concept Card,Image 2 can make human-created traces and rights/provenance questions feel concrete without fake mechanics.,true,false,false,P1 before human testing,Replace or supplement with a textless Image 2 lantern/source-traces concept card.
Midnight Ledger,costs-we-must-count,Costs We Must Count,Cost Ledger,coded-svg,Cost ledgers risk fake dashboard language and false precision.,Image 2 Concept Card,A static concept image can show hidden infrastructure and institutional costs without invented metrics.,true,false,false,P0 before human testing,Replace with a textless Image 2 infrastructure/ledger scene; keep cost categories in HTML.
Midnight Ledger,risk-myth,Risk vs Myth,Risk Ledger,coded-svg,Risk visuals can easily become spooky or too ledger-like.,Image 2 Concept Card,A polished concept image can separate real-world grounded risk from myth while callouts do the exact sorting.,true,false,false,P0 before human testing,Replace with textless Image 2 concept card showing a grounded path beside misty myth shapes; keep labels outside.
New Dawn,benefits-worth-taking-seriously,Benefits Worth Taking Seriously,Benefit Tiers,coded-svg,Benefit chips are readable but feel utilitarian for a hope/bounds lesson.,Image 2 Concept Card,A calm tool-garden image can convey useful bounded benefit without hype.,true,false,false,P1 before human testing,Replace with textless Image 2 tool-garden concept card and keep benefit tiers in HTML.
New Dawn,human-centered-ai,Human-Centered AI,Accountability Flow,coded-svg,Accountability flow is accurate but visually administrative.,Image 2 Concept Card,"A humane concept image can put dignity, review, and accountable action at the center.",true,false,false,P1 before human testing,Replace with textless Image 2 human-centered decision-support scene; callouts carry governance specifics.
New Dawn,better-ai-choice,Better AI Is a Choice,Better-AI Control Panel,coded-svg,Lever panels can feel like a fake control dashboard.,Image 2 Concept Card,"The lesson is about human choices and governance, so a concept image plus callouts is stronger.",true,false,false,P1 before human testing,"Replace with Image 2 forked-path/control-choice scene; keep data, evaluation, policy, review, and incentives in HTML."
New Dawn,effective-prompting-literacy,Effective Prompting from Model Literacy,Context Tray,coded-svg,"Prompting depends on context packing, evidence, format, and review in one run.",Coded Mechanism Mini-Diagram,The context tray is exact and should remain coded.,false,true,false,P2 keep through testing,Keep coded tray/stack visual with short prompt-part chips.
New Dawn,model-literate-synthesis,Model Literate Synthesis,Model Literacy Board,coded-html,The capstone board remains abstract and can feel like a summary dashboard.,Image 2 Concept Card,"A final concept image can integrate mechanics, evidence, and human responsibility while HTML callouts stay precise.",true,false,false,P0 before human testing,Replace with textless Image 2 compass/lantern/map concept card; keep three synthesis callouts below.
