repair_id,priority,action,scope,stage_number,stage_title,learning_card_code,card_title,question_id,issue_type,current_text,recommended_change,implementation_instruction
R062,high,revise,question,5,The Day Repeats,5.4,Grounding,V02712-GROUNDING-Q2,generic_stem_needs_mechanism|possible_correct_answer_length_bias|thin_wrong_feedback,What does grounding try to connect?,Name the mechanism or scenario in the stem so it stands alone outside the learning card. Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R064,high,revise,question,5,The Day Repeats,5.4,Grounding,V02712-GROUNDING-Q4,possible_correct_answer_length_bias,How does grounding connect to RAG in a well-designed system?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R068,high,revise,question,5,The Day Repeats,5.5,Hallucinations,V02712-HALLUCINATIONS-Q4,possible_correct_answer_length_bias|thin_wrong_feedback,Which practice can reduce hallucination risk without pretending it disappears?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R059,high,revise,question,5,The Day Repeats,5.3,RAG and Retrieval,V02712-RAG-RETRIEVAL-Q3,possible_correct_answer_length_bias,Why is RAG not training?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R060,high,revise,question,5,The Day Repeats,5.3,RAG and Retrieval,V02712-RAG-RETRIEVAL-Q4,possible_correct_answer_length_bias|thin_wrong_feedback,How can RAG reduce hallucinations without eliminating them?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R075,high,revise,question,6,Twilight: The Wider Landscape,6.2,Diffusion vs Autoregression,V02712-DIFFUSION-Q3,possible_correct_answer_length_bias|thin_wrong_feedback,Why does this distinction help demystify generative AI?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R072,high,revise,question,6,Twilight: The Wider Landscape,6.1,How AI Learns,V02712-HOW-AI-LEARNS-Q5,possible_correct_answer_length_bias,"Why is the word ""learned"" tricky in How AI Learns conversations?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R076,high,revise,question,6,Twilight: The Wider Landscape,6.3,Multimodal AI,V02712-MULTIMODAL-Q2,possible_correct_answer_length_bias|thin_wrong_feedback,Which boundary keeps multimodal AI from sounding magical?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R077,high,revise,question,6,Twilight: The Wider Landscape,6.3,Multimodal AI,V02712-MULTIMODAL-Q3,possible_correct_answer_length_bias,How can multimodal and diffusion systems relate?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R078,high,revise,question,6,Twilight: The Wider Landscape,6.4,The Perfect Storm,V02712-PERFECT-STORM-Q2,possible_correct_answer_length_bias,Why do labor and incentives belong beside data and compute in the Perfect Storm?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R080,high,revise,question,6,Twilight: The Wider Landscape,6.4,The Perfect Storm,V02712-PERFECT-STORM-Q4,possible_correct_answer_length_bias,How does the Perfect Storm widen the Journey after model mechanics?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R082,high,revise,question,7,Midnight Ledger,7.1,"Collective Intelligence, Extracted",V02712-COLLECTIVE-INTELLIGENCE-Q2,possible_correct_answer_length_bias,"Why is ""extracted"" an important word here?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R083,high,revise,question,7,Midnight Ledger,7.1,"Collective Intelligence, Extracted",V02712-COLLECTIVE-INTELLIGENCE-Q3,possible_correct_answer_length_bias|possibly_obvious_distractor|thin_wrong_feedback,How does collective intelligence connect back to pretraining?,"Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary. Review “definitely/guaranteed/must” distractors; keep only if they represent a real public myth, otherwise make them more plausible.","Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R084,high,revise,question,7,Midnight Ledger,7.2,Costs We Must Count,V02712-COSTS-WE-MUST-COUNT-Q1,possible_correct_answer_length_bias,A campus wants AI tutoring at scale. Which cost mix should leaders count before deployment?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R087,high,revise,question,7,Midnight Ledger,7.2,Costs We Must Count,V02712-COSTS-WE-MUST-COUNT-Q4,possible_correct_answer_length_bias,How should Costs We Must Count shape benefit claims?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R090,high,revise,question,7,Midnight Ledger,7.3,Risk vs Myth,V02712-RISK-MYTH-Q4,possible_correct_answer_length_bias,Which response is best when a risk is real but a myth is also circulating?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R091,high,revise,question,8,New Dawn,8.1,Benefits Worth Taking Seriously,V02712-BENEFITS-WORTH-TAKING-SERIOUSLY-Q1,possible_correct_answer_length_bias|thin_wrong_feedback,Which Benefits Worth Taking Seriously claim is useful and bounded rather than hype?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R092,high,revise,question,8,New Dawn,8.1,Benefits Worth Taking Seriously,V02712-BENEFITS-WORTH-TAKING-SERIOUSLY-Q2,possible_correct_answer_length_bias|thin_wrong_feedback,"During use, where do many AI benefits come from?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R093,high,revise,question,8,New Dawn,8.1,Benefits Worth Taking Seriously,V02712-BENEFITS-WORTH-TAKING-SERIOUSLY-Q3,generic_stem_needs_mechanism|possible_correct_answer_length_bias,What misconception does this benefits card avoid?,Name the mechanism or scenario in the stem so it stands alone outside the learning card. Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R098,high,revise,question,8,New Dawn,8.3,Better AI Is a Choice,V02712-BETTER-AI-CHOICE-Q2,possible_correct_answer_length_bias|thin_wrong_feedback,Which choices can durably shape future AI behavior?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R100,high,revise,question,8,New Dawn,8.3,Better AI Is a Choice,V02712-BETTER-AI-CHOICE-Q4,possible_correct_answer_length_bias|thin_wrong_feedback,How do human-centered values become practical choices?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R102,high,revise,question,8,New Dawn,8.4,Effective Prompting from Model Literacy,V02712-EFFECTIVE-PROMPTING-LITERACY-Q2,possible_correct_answer_length_bias|thin_wrong_feedback,Why is prompting not magic wording?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R103,high,revise,question,8,New Dawn,8.4,Effective Prompting from Model Literacy,V02712-EFFECTIVE-PROMPTING-LITERACY-Q3,possible_correct_answer_length_bias|thin_wrong_feedback,A user asks for a citation but provides no source and no retrieval tool is connected. What should model literacy suggest?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R104,high,revise,question,8,New Dawn,8.4,Effective Prompting from Model Literacy,V02712-EFFECTIVE-PROMPTING-LITERACY-Q4,possible_correct_answer_length_bias,How does effective prompting fit with human responsibility?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R095,high,revise,question,8,New Dawn,8.2,Human-Centered AI,V02712-HUMAN-CENTERED-AI-Q2,mixed_choice_length|possible_correct_answer_length_bias|thin_wrong_feedback,Why can prompts alone not make a system human-centered?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R105,high,revise,question,8,New Dawn,8.5,Model Literate Synthesis,V02712-MODEL-LITERATE-SYNTHESIS-Q1,possible_correct_answer_length_bias,A learner traces one answer from prompt to output. Which trace keeps the mechanism clear?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R106,high,revise,question,8,New Dawn,8.5,Model Literate Synthesis,V02712-MODEL-LITERATE-SYNTHESIS-Q2,mixed_choice_length|possible_correct_answer_length_bias,"A model-literate explanation separates durable, temporary, retrieved, and generated pieces. Which separation is strongest?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R107,high,revise,question,8,New Dawn,8.5,Model Literate Synthesis,V02712-MODEL-LITERATE-SYNTHESIS-Q3,possible_correct_answer_length_bias|thin_wrong_feedback,"In Model Literate Synthesis, what should learners do when fluency outruns support?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R108,high,revise,question,8,New Dawn,8.5,Model Literate Synthesis,V02712-MODEL-LITERATE-SYNTHESIS-Q4,mixed_choice_length|possible_correct_answer_length_bias,How does the day-in-the-life through-line help final synthesis?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R109,high,revise,question,8,New Dawn,8.5,Model Literate Synthesis,V02712-MODEL-LITERATE-SYNTHESIS-Q5,possible_correct_answer_length_bias,What is the badge-level mental model Prompt Life wants to leave behind?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R046,medium,review,question,4,Decision Room,4.1,Logits,V02712-LOGITS-Q2,thin_wrong_feedback,A logit is high for a token that would make a false sentence. What should the learner conclude?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R049,medium,review,question,4,Decision Room,4.3,Sampling,V02712-SAMPLING-Q1,thin_wrong_feedback,Softmax creates probabilities for possible next tokens. What does sampling do next?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R051,medium,review,question,4,Decision Room,4.3,Sampling,V02712-SAMPLING-Q4,thin_wrong_feedback,A learner says sampling writes the whole answer at once. What boundary fixes that misconception?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R047,medium,review,question,4,Decision Room,4.2,Softmax,V02712-SOFTMAX-Q2,thin_wrong_feedback,"A token gets the highest softmax probability, but the claim is unsupported. What does that reveal?",Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R048,medium,review,question,4,Decision Room,4.2,Softmax,V02712-SOFTMAX-Q3,thin_wrong_feedback,Where does softmax sit between logits and sampling?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R052,medium,review,question,5,The Day Repeats,5.1,Autoregression,V02712-AUTOREGRESSION-Q1,thin_wrong_feedback,"In autoregression, a model writes ""The dog"" and then generates ""ran."" What does the next model run see?",Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R053,medium,review,question,5,The Day Repeats,5.1,Autoregression,V02712-AUTOREGRESSION-Q2,thin_wrong_feedback,Autoregression updates the response-so-far during inference. What usually does not change?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R055,medium,review,question,5,The Day Repeats,5.2,Context Window,V02712-CONTEXT-WINDOW-Q3,thin_wrong_feedback,RAG retrieves three passages before the LLM answers. Where do those passages usually go?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R063,medium,review,question,5,The Day Repeats,5.4,Grounding,V02712-GROUNDING-Q3,thin_wrong_feedback,A response includes a polished citation that the source list does not contain. What should a learner suspect?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R065,medium,review,question,5,The Day Repeats,5.5,Hallucinations,V02712-HALLUCINATIONS-Q1,thin_wrong_feedback,The model invents a realistic article title and citation. What makes this a hallucination?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R066,medium,review,question,5,The Day Repeats,5.5,Hallucinations,V02712-HALLUCINATIONS-Q2,thin_wrong_feedback,Why can hallucinations happen in a next-token system?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R067,medium,review,question,5,The Day Repeats,5.5,Hallucinations,V02712-HALLUCINATIONS-Q3,thin_wrong_feedback,A hallucination is often confused with lying. Which boundary matters?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R057,medium,review,question,5,The Day Repeats,5.3,RAG and Retrieval,V02712-RAG-RETRIEVAL-Q1,possibly_obvious_distractor,"A RAG system searches a course handbook, inserts two passages into the prompt, then the LLM answers. What changed most directly?","Review “definitely/guaranteed/must” distractors; keep only if they represent a real public myth, otherwise make them more plausible.","Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R058,medium,review,question,5,The Day Repeats,5.3,RAG and Retrieval,V02712-RAG-RETRIEVAL-Q2,thin_wrong_feedback,Which source can a RAG system use?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R073,medium,review,question,6,Twilight: The Wider Landscape,6.2,Diffusion vs Autoregression,V02712-DIFFUSION-Q1,thin_wrong_feedback,"In Diffusion vs Autoregression, one system appends text tokens and another denoises an image. Which boundary is most accurate?",Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R074,medium,review,question,6,Twilight: The Wider Landscape,6.2,Diffusion vs Autoregression,V02712-DIFFUSION-Q2,thin_wrong_feedback,What is the key diffusion idea in this simplified map?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R069,medium,review,question,6,Twilight: The Wider Landscape,6.1,How AI Learns,V02712-HOW-AI-LEARNS-Q1,thin_wrong_feedback,A team fine-tunes a support model on many reviewed examples. What usually changes?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R070,medium,review,question,6,Twilight: The Wider Landscape,6.1,How AI Learns,V02712-HOW-AI-LEARNS-Q3,thin_wrong_feedback,A RAG system retrieves a PDF passage and the model uses it. What did the system add?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R071,medium,review,question,6,Twilight: The Wider Landscape,6.1,How AI Learns,V02712-HOW-AI-LEARNS-Q4,generic_stem_needs_mechanism|thin_wrong_feedback,Which action belongs in the durable-learning bucket?,Name the mechanism or scenario in the stem so it stands alone outside the learning card. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R079,medium,review,question,6,Twilight: The Wider Landscape,6.4,The Perfect Storm,V02712-PERFECT-STORM-Q3,generic_stem_needs_mechanism,What misconception does the storm-front metaphor correct?,Name the mechanism or scenario in the stem so it stands alone outside the learning card.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R081,medium,review,question,7,Midnight Ledger,7.1,"Collective Intelligence, Extracted",V02712-COLLECTIVE-INTELLIGENCE-Q1,thin_wrong_feedback,"In Collective Intelligence, Extracted, a model gives useful patterns learned from many people's writing. What should learners ask?",Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R085,medium,review,question,7,Midnight Ledger,7.2,Costs We Must Count,V02712-COSTS-WE-MUST-COUNT-Q2,thin_wrong_feedback,Why can repeated inference workloads matter even after training is done?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R086,medium,review,question,7,Midnight Ledger,7.2,Costs We Must Count,V02712-COSTS-WE-MUST-COUNT-Q3,generic_stem_needs_mechanism|thin_wrong_feedback,"What misconception does Costs We Must Count correct with the phrase ""digital means weightless""?",Name the mechanism or scenario in the stem so it stands alone outside the learning card. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R088,medium,review,question,7,Midnight Ledger,7.3,Risk vs Myth,V02712-RISK-MYTH-Q1,thin_wrong_feedback,A staff member pastes student records into a third-party AI tool. Which risk is real?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R089,medium,review,question,7,Midnight Ledger,7.3,Risk vs Myth,V02712-RISK-MYTH-Q3,thin_wrong_feedback,What boundary separates hallucination risk from lying?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R097,medium,review,question,8,New Dawn,8.3,Better AI Is a Choice,V02712-BETTER-AI-CHOICE-Q1,thin_wrong_feedback,A team wants fewer unsupported answers in a student-support bot. Which design choice helps without pretending risk disappears?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R099,medium,review,question,8,New Dawn,8.3,Better AI Is a Choice,V02712-BETTER-AI-CHOICE-Q3,thin_wrong_feedback,"What misconception does ""better AI is a choice"" avoid?",Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R101,medium,review,question,8,New Dawn,8.4,Effective Prompting from Model Literacy,V02712-EFFECTIVE-PROMPTING-LITERACY-Q1,thin_wrong_feedback,"A prompt includes the task, audience, evidence, constraints, and output format. What does that improve?",Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R094,medium,review,question,8,New Dawn,8.2,Human-Centered AI,V02712-HUMAN-CENTERED-AI-Q1,thin_wrong_feedback,"In Human-Centered AI, what should remain central in a high-stakes advising workflow even if AI drafts options?",Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R096,medium,review,question,8,New Dawn,8.2,Human-Centered AI,V02712-HUMAN-CENTERED-AI-Q4,thin_wrong_feedback,How does human-centered AI connect to the prior costs and risks cards?,Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
